question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
Where do students actually watch the Office Hours or live workshop sessions if the Zoom link isn’t shared publicly?,489dd1c9d9,good,"The agent’s answer matches the ground truth well. It correctly says students do not use the public Zoom link, and that they watch via YouTube Live and submit questions through Slido. It also includes the announcements channel on Telegram/Slack, the DataTalksClub YouTube channel, and notes that the Zoom link is only for instructors/presenters/TAs. The only minor omission is the specific caution not to post questions in chat, but the core answer is present.",good,"The single search query was relevant and contained key terms from the question (Office Hours, live workshop sessions, Zoom link not shared publicly). One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
"How are we supposed to ask questions during the live sessions, and why shouldn’t we just put them in the chat?",489dd1c9d9,good,"The agent’s answer matches the ground truth on the key points: students should ask questions via Slido during live sessions, the link is pinned in chat, the stream is on YouTube Live, and questions should not be put in chat because they may be missed when the room is active. It omits some extra details from the original (zoom link only for instructors/presenters/TAs, video URL in announcements, DataTalksClub channel), but those are not necessary to answer the question asked.",good,"The search query was relevant and used important keywords from the question (“ask questions during live sessions,” “chat,” “why not chat”). One search call was sufficient and reasonable. The tool call supported the final answer."
Will the stream/video link for an Office Hours session be announced somewhere before it starts?,489dd1c9d9,good,"The agent’s answer matches the ground truth. It correctly states that the video URL should be posted in the announcements channel on Telegram and Slack before the session begins, and that it can also be watched live on the DataTalksClub YouTube channel. It also correctly notes that the Zoom link is only for instructors/presenters/TAs and students join via YouTube Live. This contains the key information from the original answer.",good,"The search query was relevant to the question and included important keywords like 'Office Hours', 'stream video link', and 'before it starts'. Only one search call was made, which is reasonable for this straightforward FAQ lookup. The tool call supported the final answer."
"Who can see the Zoom link for the live sessions, and is it meant for students too?",489dd1c9d9,good,"The agent answer matches the ground truth: it says the Zoom link is only for instructors/presenters/TAs and not for students, and that students should use YouTube Live and Slido, with the link shared in Telegram/Slack announcements. This contains the key information from the original answer, though it omits the note about not posting questions in chat and the specific pinned Slido detail, which are not essential to the main question.",good,"The tool call was relevant and contained important keywords from the question ('Zoom link', 'live sessions', 'students'). Only one search was used, which is reasonable for this simple factual question. There were no unnecessary duplicate calls, and the search supported the final answer."
"Can I follow the office hours on YouTube instead of Zoom, and where do I find the live stream?",489dd1c9d9,good,"The agent answer matches the ground truth well. It correctly says students should use YouTube Live instead of Zoom, states that the Zoom link is only for instructors/presenters/TAs, explains that the live video URL is posted in the announcements channel on Telegram and Slack, and identifies the DataTalksClub YouTube channel as an alternative place to watch. It also mentions Slido for questions and not using chat, which is consistent with the original answer. No important information is missing.",good,"The search query was relevant to the question and included the key concepts (office hours, YouTube, Zoom, live stream, where to find it). Only one search call was needed and it was reasonable for this simple FAQ lookup. The tool call supports the final answer well."
"Where should I begin if I want to follow this course properly, and which docs or repo should I open first?",04919992b3,good,"The agent’s answer matches the ground truth on the key points: it identifies the LLM Zoomcamp GitHub repo and the two docs pages, and it also reproduces the typical workflow for following the course. The only minor difference is ordering and emphasis, but the content is substantively the same.",good,"The search query is somewhat relevant because it asks about where to begin and which docs/repo to open first, but it is generic and does not include the specific course name or exact keywords from the question. Still, only one search was used, which is reasonable, and the tool use did not interfere with the final answer."
"Can I join the course anytime, or are there fixed start dates and deadlines I need to watch out for?",04919992b3,good,"The agent’s answer matches the core ground truth: you can start whenever you want, the materials are self-paced, and deadlines are on the course management platform. It also correctly notes that homework/submission windows are limited and that certificate-related requirements depend on the cohort/submission timing. While it doesn’t mention the specific docs or GitHub links from the original answer, the key information is present and accurate.",good,"The search query was relevant to the user’s question and targeted the key concepts of joining anytime and deadlines. Only one search call was used, which is reasonable for a straightforward FAQ-style question. No obvious duplicate or unnecessary calls were made."
What’s the usual weekly routine for this course after I watch the lectures?,04919992b3,good,"The agent answer matches the key part of the ground truth: after lectures, you work through the lesson notebooks/code, read homework instructions on GitHub, and submit answers before the deadline. It also correctly notes that homework follows the lesson flow with a different dataset or slightly different task. It omits the introductory resource links and the explicit first step of watching lesson videos, but the question asked about the routine after watching lectures, so the core answer is present.",good,"The single search query was relevant to the question and attempted to find the usual weekly routine after lectures. However, it was broad and somewhat generic, not tailored to the specific course name or likely FAQ wording. Still, only one search call was made, which is reasonable for this kind of question, and it supported the final answer."
"Do I need to do the notebooks and homework in a specific order, and where are the homework instructions posted?",04919992b3,good,"The agent’s answer matches the ground truth on the key points: it says there is no strict required order, suggests doing lesson notebooks/code first, and says homework instructions are posted in the GitHub repo while submission/deadlines are handled on the course platform. It also includes an example homework link, which is extra but not contradictory. So the answer is correct overall.",good,"The search query was relevant to the question and contained the main keywords about notebooks, homework, order, and instructions. Only one search call was made, which is reasonable for this simple logistics question. The result supported the final answer adequately."
"How is the homework different from the lesson work, and how do I submit it before the deadline?",04919992b3,good,"The agent’s answer matches the ground truth on the main points: homework is similar to lesson work but uses a different dataset or slightly different task, and submission is done through the course management platform before the deadline. It also mentions the form being open/closed, which is consistent with the deadline behavior implied by the original answer. It omits some specifics from the ground truth, such as the exact workflow steps and links to docs/GitHub, but the key information is present.",good,"The search query was relevant and contained important keywords from the question: homework, lesson work, submit, before deadline. Only one search call was made, which is reasonable for this straightforward FAQ-style question. There were no unnecessary duplicate calls, and the search supported the final answer."
I just made my account but can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly says new accounts are assigned a random display name, instructs the user to click the “Jump to your record on the leaderboard” link, and mentions “Edit Course Profile” to view the display name. It also accurately describes the two fields and their purposes. The extra offer to explain changing the leaderboard name is harmless and does not contradict the original answer.",good,"The search query was relevant to the user’s issue, though somewhat generic. It included the core idea of a leaderboard entry not showing up for a new account. Only one search call was made, which is reasonable here, and it supported the final answer adequately. There was no unnecessary duplication."
"What name shows up on the leaderboard by default, and can I check what mine is?",c2903069a0,good,"The agent answer matches the ground truth. It correctly states that a random anonymous name such as “Lucid Elbakyan” appears by default on the leaderboard, and that the user can check their name via “Edit Course Profile.” It also correctly identifies the first field as the public leaderboard nickname. The original answer additionally mentions the 'Jump to your record on the leaderboard' link and the second field for official certificate name, but these omissions do not change the core correctness for the asked question.",good,"The single search query is relevant and includes the main concepts from the question: leaderboard, default name, and checking the user's name. One search is reasonable, and there were no unnecessary duplicate calls. The tool call supported the final answer."
"Is the name I use in my profile the one that appears publicly, or can I change it to my Slack/GitHub nickname?",c2903069a0,good,"The agent answer matches the ground truth. It correctly states that the public display name can be changed to a Slack/GitHub nickname, and that the first field is the public nickname/display name while the second field is the official certificate name. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included important concepts like profile name, public appearance, and Slack/GitHub nickname. Only one search was used, which is reasonable for this straightforward question. The tool call supported the final answer."
"How do I make sure my certificate won’t have the random name on it, and what name should I put instead?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly explains that the random name can be avoided by editing the course profile and placing the official/legal name in the second field, while the first field is the display name/nickname. It also mentions the certificate name appears from the second field and gives examples of official ID names, which aligns with the original answer.",good,"The search query was relevant to the user’s question and contained the main idea about a certificate random name and what name to use instead. Only one search call was made, which is reasonable for this simple FAQ-style question. The tool call supported the final answer."
Where in the course profile do I edit my display name versus my legal name for the certificate?,c2903069a0,good,The agent’s answer matches the ground truth. It correctly identifies that the first field in Edit Course Profile is for the display/public nickname and the second field is for the legal/official name that appears on the certificate. This preserves the key distinction and intent of the original answer.,good,"The search query was relevant and included key concepts from the question: course profile, display name, legal name, and certificate. Only one search call was used, which is reasonable for this straightforward FAQ question, and it supports the final answer adequately."
Can I take this course at my own pace and still get a certificate at the end?,69d122f12e,good,"The agent’s answer matches the ground truth: it says self-paced mode is allowed but does not lead to a certificate, and that certificates require finishing with a live cohort because of the peer-review/capstone requirement. This captures the essential points from the original answer, even though it is phrased slightly differently and omits the exact detail about reviewing 3 capstones and the closed peer-review list.",good,"The single search query was relevant to the question and included key concepts like self-paced and certificate. Only one tool call was needed, and there were no redundant or unnecessary searches. The tool use was reasonable and supported the final answer."
Is there any way to earn a certificate if I don’t join a live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that a certificate is only available if the student finishes the course with a live cohort, and that self-paced mode does not award certificates because peer-reviewing 3 capstones is required while the course is running.",good,"The single search query is relevant and includes key terms from the question such as certificate and live cohort. One search call is reasonable, and there are no unnecessary or duplicate tool calls."
Why aren’t certificates given for the self-paced version of the course?,69d122f12e,good,"The agent answer matches the ground truth. It correctly states that certificates are not awarded for the self-paced version, explains that a certificate requires peer-reviewing 3 capstones after submitting a project, and notes this can only be done during a live cohort while the course is running. This preserves all key points from the original answer.",good,"The tool call was reasonable and relevant: it searched using the exact question text, which is an appropriate first query. Only one search was used, which is sufficient here since the final answer directly addresses the question without needing refinement."
Do I need to be in the running cohort to do the peer reviews needed for certification?,69d122f12e,good,"The agent’s answer is essentially correct and matches the key points of the ground truth: certification requires being in the live/running cohort, self-paced mode does not qualify, and peer reviewing 3 capstones is needed while the course is active. The only minor issue is that it starts with ""Yes"" to the user’s question, which could be a bit misleading since the ground truth is phrased as ""No, you can only get a certificate if you finish the course with a live cohort."" But the explanatory content underneath conveys the same meaning accurately.",good,"The search query is relevant and includes important keywords from the question: peer reviews, certification, running cohort, FAQ. Only one search was used, which is reasonable for this straightforward factual question. There were no unnecessary duplicate calls, and the search supports the final answer."
"If I finish the materials later on my own, can I still get the certificate somehow?",69d122f12e,good,"The agent’s answer matches the key points of the ground truth: no certificate for self-paced completion, only for the live cohort, and certification depends on completing project submission and peer reviews during the course run. It adds a brief explanation about why this is required, which is consistent with the original answer.",good,"The single search query was relevant and contained key concepts from the question about certificates and finishing later on one’s own. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool call supported the final answer."
Can I still get the course certificate if I skipped the first homework?,9f689c185f,good,"The agent answer matches the ground truth: it states that skipping the first homework does not prevent getting the certificate, that homework is not mandatory, that passing the Capstone project is required, and that homework points affect leaderboard rank only. This contains all key information from the original answer.",good,"The search query is relevant to the question and includes important keywords like course certificate and homework. Only one search call was used, which is reasonable for this simple FAQ-style question. The tool call supports the final answer."
"Is homework required to receive the certificate, or is the Capstone enough?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not required for the certificate, that passing the Capstone project is sufficient, and that homework is only recommended and contributes to leaderboard points. This preserves all key information from the original answer.",good,"The search query is relevant and includes the core terms from the question: homework, certificate, and capstone. Only one search was needed, and there were no unnecessary or duplicate calls. The tool use reasonably supports the final answer."
"If homework isn’t mandatory, what do the homework points affect?",9f689c185f,good,"The agent answer matches the key information from the ground truth. It correctly says homework points count toward leaderboard rank and that homework is not required for the certificate, with the Capstone project being the requirement. This answers the question accurately, though it adds a bit more than asked.",good,"The single search query was relevant and contained the important keywords from the question. Only one tool call was needed, and it reasonably supported the final answer without unnecessary duplication."
"Do I need to complete all assignments to earn the certificate, or just pass the Capstone project?",9f689c185f,good,"The agent answer matches the ground truth. It correctly says the certificate requires passing the Capstone project, not completing all assignments, and notes that homework is optional/recommended and affects leaderboard rank. This contains the same key information as the original answer.",good,"The single search query was relevant and included the important keywords from the question, especially 'certificate', 'assignments', and 'Capstone project'. One search call was sufficient, with no unnecessary duplicates or refinements needed."
What matters most for getting certified in this course: homework or the Capstone?,9f689c185f,good,"The agent answer matches the ground truth: it correctly says the Capstone must be passed to get the certificate, homework is not mandatory, and homework points count toward leaderboard rank. This contains the key information from the original answer.",good,"The tool call was relevant and included the main keywords from the question (certified, homework, Capstone). Only one search was made, which is reasonable here, and it directly supports the final answer."
Why does the homework keep changing before it’s due?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly explains that the homework may keep changing until it is officially ready, identifies the meaning of [DRAFT], states the two conditions for readiness, and notes that working early is at the student's own risk because the final version may differ.",good,"The tool call was relevant to the question and used appropriate keywords about homework changing before the due date. Only one search call was made, which is reasonable, and it supported the final answer."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that a homework title with [DRAFT] means the homework is not ready yet, and that it is only ready when the form is open and the title no longer contains [DRAFT]. It also correctly mentions that content may still change and doing work in advance is at your own risk. No key information is missing.",good,"The tool call was relevant and concise. The search query directly targeted the meaning of [DRAFT] in a homework title, which is the core of the question. Only one search was used, which is reasonable, and there were no unnecessary or duplicate calls."
How can I tell if a homework assignment is actually ready?,96286b4be4,good,"The agent answer matches the ground truth: it states that homework is ready only when the form is open and the title does not contain [DRAFT], and it correctly notes that [DRAFT] means not ready and content may still change. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included keywords about homework being ready. Only one search call was made, which is reasonable. The tool call supported the final answer, though it was somewhat generic rather than directly targeting the [DRAFT] keyword."
Is it safe to start working on homework if it still says draft?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that it is okay to start working only at your own risk, that the homework is ready only when the form is open and the title no longer contains [DRAFT], and that the content can still change. This preserves the key meaning of the FAQ answer.",good,"The search query is directly relevant to the question and includes the main keywords about starting homework when it still says draft. Only one search was needed, and it was sufficient to support the final answer."
Can the homework content still change after it’s posted on the platform?,96286b4be4,good,"The agent answer matches the ground truth. It states that homework content can still change until it is officially ready, and correctly identifies the two conditions for readiness: the homework form being open and the title not containing [DRAFT]. It also includes the warning that working ahead is at your own risk because the final version may differ. This preserves the key information from the original answer.",good,"The single search query is relevant to the question, but it is fairly generic and does not include the key keywords from the FAQ phrasing such as [DRAFT], homework form, or course management platform. Still, only one search call was made, which is reasonable, and it supports the final answer adequately. The trajectory is acceptable though not especially precise."
When is the next time this course will run?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key information: it states the course will next run in Summer 2027. No missing or conflicting details.,good,"The tool call used the exact question as the search query, which is relevant and sufficient for this simple schedule lookup. Only one search was made, which is reasonable, and it supported the final answer."
Do we know the date for the next course offering?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states that the next course offering is Summer 2027. This contains the key information requested.,good,"The single search query, ""next course offering date"", is relevant to the question and uses the key concept asked about. One search call is reasonable here, and there were no unnecessary duplicate queries."
Is there a planned start for the course again?,bd31146b0e,good,"The agent answer includes the ground-truth key information that the next planned offering is Summer 2027. It adds an extra statement about starting on one's own whenever wanted, which is not in the original answer, but it does not contradict the main answer. Overall it matches the FAQ answer sufficiently.",good,"The search query is relevant to the question and includes key concepts like planned start and course start again. Only one search was used, which is reasonable for this simple factual question. The query supported the final answer."
When should I expect this course to be available next?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: it says the course will next be available in Summer 2027.,good,"The search query was relevant to the question and contained the core wording about when the course will be available next. Only one search was made, which is reasonable here, and it supported the final answer."
What’s the next session of the course scheduled for?,bd31146b0e,bad,"The agent did not match the ground truth. The correct answer is that the next session is scheduled for Summer 2027, but the agent instead said it could not find a direct FAQ entry and gave unrelated general course info. It omitted the specific session timing entirely.",bad,"The search query was relevant to the question and included the key phrase about the next session, but only one search was made and the result did not lead to the correct specific answer. Since the final response failed to extract the known FAQ answer, the trajectory is not successful overall."
Where can I find the course lectures or videos?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, explains that lesson folders contain pages with videos linked at the top, and notes that the GitHub repo is the preferred source because it is easier to keep updated than the YouTube playlist. This includes all key information from the original answer.",good,"The single search query was relevant to the question and searched for lectures/videos. Although it was somewhat generic and could have included the course name, the tool use was still reasonable and not excessive. One search call is sufficient here."
Is there a main place to start for the LLM Zoomcamp materials?,31456f4b5f,good,"The agent’s answer includes the GitHub repository, which is the key point in the ground truth. However, it adds extra starting points (docs, logistics) and a workflow that are not asked for and not part of the original answer. Still, it does not contradict the main answer and contains the essential guidance that the GitHub repo is a main entry point. So the answer is broadly correct, though less focused than the FAQ answer.",good,"The search query was relevant and used important keywords from the question ('main place to start' and 'LLM Zoomcamp materials'). Only one search was needed, which is reasonable. The tool use supported the final answer, though the query could have been more specific to the GitHub repository or lesson folders. Overall the trajectory was reasonable."
"Do I need to use the YouTube playlist, or is there a better source for the lessons?",31456f4b5f,good,"The agent answer matches the ground truth well. It correctly states that the LLM Zoomcamp GitHub repository is the main entry point, that lesson pages contain the relevant video links, and that the GitHub repo should be followed first because it is easier to keep updated than the YouTube playlist. This preserves the key information from the original answer.",good,"The tool call was only mildly relevant: it searched about YouTube playlist and lesson source, which relates to the question. However, it was a bit generic and not tightly targeted to the specific LLM Zoomcamp GitHub repository/FAQ wording. Still, with just one search call and no unnecessary repetition, the trajectory is reasonable."
How do I get to the videos for each lesson in this course?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and notes that each lesson page has the relevant videos linked at the top. It also includes the advice to prefer the GitHub repo over the YouTube playlist because it is more reliably updated. Minor wording differences do not change the meaning.",good,"The single search query was relevant to the question and contained the key idea about getting to lesson videos. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supported the final answer adequately."
What should I check first if I want the latest links to the lecture videos?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to check the LLM Zoomcamp GitHub repository first, notes that it is the main entry point, and mentions that each lesson page contains the relevant video links at the top. It also includes the rationale that the repo is easier to keep updated than the YouTube playlist, which aligns with the original answer.",good,"The single search query is somewhat generic but still relevant to the question about finding the latest lecture video links. Only one tool call was made, which is reasonable here, and there were no unnecessary duplicate searches. The tool call does not materially hurt the final answer."
