question,answer_llm,answer_orig,document
Where do students actually watch the Office Hours or live workshop sessions if the Zoom link isn’t shared publicly?,"Students watch the Office Hours or live workshop sessions on **YouTube Live**. The **Zoom link is only for instructors/presenters/TAs** and isn’t shared publicly.

The live video URL is usually posted:
- in the **Telegram and Slack announcements channel** before it starts
- on the **DataTalksClub YouTube Channel**

Students should submit questions via **Slido** rather than in the chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"How are we supposed to ask questions during the live sessions, and why shouldn’t we just put them in the chat?","During the live sessions, you’re supposed to ask questions via **Slido** — the link is **pinned in the chat when the session is live**.

You shouldn’t just put questions in the chat because **they may be missed if the room is very active**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Will the stream/video link for an Office Hours session be announced somewhere before it starts?,Yes. The video URL should be posted in the announcements channel on Telegram and Slack before it begins. You can also watch live on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Who can see the Zoom link for the live sessions, and is it meant for students too?","The Zoom link is only published to instructors, presenters, and TAs. It is not meant for students.

Students join the live sessions via YouTube Live and can submit questions through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I follow the office hours on YouTube instead of Zoom, and where do I find the live stream?","Yes — you can follow office hours on **YouTube Live** instead of Zoom.

The **Zoom link is only for instructors/presenters/TAs**. For students, the live stream video URL should be posted in the **announcements channel on Telegram and Slack** before it starts, and you can also watch it on the **DataTalksClub YouTube channel**:

https://www.youtube.com/c/DataTalksClub

Questions should be submitted via **Slido** (the link is pinned in chat when live).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I want to follow this course properly, and which docs or repo should I open first?","Start with the **LLM Zoomcamp docs** and the **LLM Zoomcamp GitHub repository**:

1. **LLM Zoomcamp docs**:  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. **General Zoomcamp logistics docs**:  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. **LLM Zoomcamp GitHub repo**:  
   https://github.com/DataTalksClub/llm-zoomcamp

If you want the best place to begin, **open the GitHub repo first** and follow the lesson folders there, since it’s the main entry point and stays updated more reliably than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course anytime, or are there fixed start dates and deadlines I need to watch out for?","You can start whenever you want — the videos and GitHub materials are available anytime.

That said, there are **deadlines for homework and project submissions** in the course management platform, and if you want a **certificate**, you need to submit your project **while submissions are still being accepted**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course after I watch the lectures?,"A typical weekly workflow is:

1. Watch the lesson videos.  
2. Work through the lesson notebooks/code.  
3. Read the homework instructions on GitHub.  
4. Submit your answers through the course platform before the deadline.  

Homework usually follows the same general flow as the lesson, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to do the notebooks and homework in a specific order, and where are the homework instructions posted?","You can follow the lesson notebooks/code in the usual order, but the homework itself is typically done after the lesson workflow. A typical flow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit answers on the course platform before the deadline  

The homework instructions are posted in the course GitHub repo, and the course platform is mainly for submission and deadlines.

For Module 1 (2026 cohort), use:
- Cohort materials: https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- Homework instructions: https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How is the homework different from the lesson work, and how do I submit it before the deadline?","Homework is similar to the lesson work, but it usually uses a different dataset or slightly different task.

To submit it before the deadline:

1. Go to the course management platform.
2. Open the homework submission form.
3. Submit your answers while the form is still open.

Important: there are no late submissions and no individual deadline extensions. If the form is still open, you can still submit even if the listed deadline has already passed.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I just made my account but can’t find myself on the leaderboard — how do I locate my entry?,"When you create your account, you’re automatically given a random display name, so you may not immediately recognize your entry on the leaderboard.

To find yourself:
1. Click the **“Jump to your record on the leaderboard”** link.
2. If you want to check or change your display name, click **“Edit Course Profile.”**

If you want, I can also explain the difference between the display name and the official name used on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"What name shows up on the leaderboard by default, and can I check what mine is?","By default, the leaderboard shows a random display name, such as **“Lucid Elbakyan.”** Yes — you can check your own display name by clicking **“Edit Course Profile”**. If you want, you can also use **“Jump to your record on the leaderboard”** to find your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Is the name I use in my profile the one that appears publicly, or can I change it to my Slack/GitHub nickname?","Yes — the first field in **Edit Course Profile** is your public display name on the leaderboard, and you can change it to your **Slack username, GitHub username, or any nickname** you want. The second field is the name used on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"How do I make sure my certificate won’t have the random name on it, and what name should I put instead?","To avoid the random name on your certificate, go to **Edit Course Profile** and change the **second field** to your **official name exactly as in your ID documents** (passport, national ID, driver’s license, etc.).

- **First field:** public nickname/display name for the leaderboard
- **Second field:** official name printed on the certificate

If you leave it as-is, the random name like “Lucid Elbakyan” may appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where in the course profile do I edit my display name versus my legal name for the certificate?,"In **Edit Course Profile**, you’ll see two fields:

- **First field:** your **display name / public nickname** for the leaderboard  
- **Second field:** your **legal/official name** for the certificate

So, edit the **first field** for how you appear publicly, and the **second field** for the name printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take this course at my own pace and still get a certificate at the end?,"No. You can follow the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish with a live cohort, because you need to peer-review 3 capstones during the course run.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to earn a certificate if I don’t join a live cohort?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not qualify because certificates require peer-reviewing 3 capstone projects while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why aren’t certificates given for the self-paced version of the course?,"Certificates aren’t given for the self-paced version because the course requires you to **peer-review 3 capstone projects** after submitting your own project. That peer-review step is only possible while a **live cohort** is running, before the submission form closes and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the running cohort to do the peer reviews needed for certification?,"Yes — for certification, you need to be in the **live/running cohort**.

The peer reviews are only available **while the course is running**, and you must complete the required **3 peer reviews**. If you’re following the course self-paced, you won’t be able to do those peer reviews, so you can’t get the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish the materials later on my own, can I still get the certificate somehow?",I don't know.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the course certificate if I skipped the first homework?,Yes. Skipping the first homework won’t stop you from getting the certificate. You only need to pass the Capstone project; homework is not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required to receive the certificate, or is the Capstone enough?","No—homework is not required for the certificate. You need to pass the Capstone project to get the certificate, and homework is optional (though recommended).","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, what do the homework points affect?",Homework points only count toward your leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I need to complete all assignments to earn the certificate, or just pass the Capstone project?","You just need to **pass the Capstone project** to get the certificate. Homework and other assignments are **not mandatory**, though they can help you learn and affect your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What matters most for getting certified in this course: homework or the Capstone?,I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing before it’s due?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. The homework is only ready when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change, so working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title has `[DRAFT]` in it, it means the homework is not ready yet. The content may still change until the title no longer contains `[DRAFT]` and the homework form is open.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is actually ready?,"The homework is ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If the title still has `[DRAFT]`, it is **not ready yet**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework if it still says draft?,"It’s not ready yet if it still says `[DRAFT]`. Working on it in advance is at your own risk, because the final version can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework content still change after it’s posted on the platform?,"Yes. Until the homework is fully ready, the content can still change. It’s considered ready only when:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`

If it’s still marked `[DRAFT]`, the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will run?,The next time this course will run is **Summer 2027**.,Summer 2027.,bd31146b0e
Do we know the date for the next course offering?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a planned start for the course again?,"You can start whenever you want. The videos and GitHub materials are already available, and the deadlines are listed in the course management platform.",Summer 2027.,bd31146b0e
When should I expect this course to be available next?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next session of the course scheduled for?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant **videos linked at the top**. If in doubt, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start for the LLM Zoomcamp materials?,"Yes — the **main entry point is the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)**.

That said, the docs also recommend starting with:
- the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)

If you’re looking for the most up-to-date lesson materials, **follow the GitHub repo first**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do I need to use the YouTube playlist, or is there a better source for the lessons?","Use the **GitHub repo as the main source** for the lessons. Each lesson folder has the relevant videos linked at the top, and it’s easier to keep updated than the YouTube playlist.

So: **you don’t need to rely on the YouTube playlist**; the repo is the better source.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the videos for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: open the **lesson folders**, and on each lesson page you’ll find the **relevant videos linked at the top**.

If you’re unsure, follow the GitHub repo first—it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What should I check first if I want the latest links to the lecture videos?,"First check the **LLM Zoomcamp GitHub repository**. Open the relevant lesson folder there, because each lesson page has the latest video links at the top and the repo is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and keep up with the homework deadlines?,"Check the **LLM Zoomcamp course management platform** here:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can track the **syllabus, homework, deadlines, and progress**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a central place for tracking my progress in the LLM Zoomcamp?,"Yes — the central place is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the syllabus, deadlines, homework, cohort structure, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to follow the current cohort structure for the course?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"How do I find the course materials, deadlines, and assignments for LLM Zoomcamp in one place?","Use the **LLM Zoomcamp course management platform** for everything in one place:

- **Syllabus / cohort structure**
- **Deadlines**
- **Homework / assignments**
- **Progress tracking**

Link: [https://courses.datatalks.club/llm-zoomcamp-2026/](https://courses.datatalks.club/llm-zoomcamp-2026/)

For lesson materials and homework details, also check:
- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp use a course management site like the other DataTalks.Club Zoomcamps?,"Yes. LLM Zoomcamp uses a course management platform, just like the other DataTalks.Club Zoomcamps:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It’s used for the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does every module in LLM Zoomcamp have its own live session or office hour, or are the lessons just pre-recorded?","The lessons are primarily pre-recorded and available in the course repo. There are no separate live sessions for every module by default.

Live sessions or office hours are announced separately when they happen.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help during the course?","Ask in Slack and include the code or command output as text, not a screenshot. Follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
