question,document
Can you show me a tiny Python snippet for chatting with llama3 through Ollama?,1d0b969028
Why do I get a connection refused error when I try to prompt my Ollama RAG homework?,c6fc2d4d11
How can I fix the Ollama connection refused issue in the RAG assignment?,c6fc2d4d11
Do I need to restart the Ollama server if the notebook gets stopped and started again?,c6fc2d4d11
What command should I run to bring Ollama back up after the server dies?,c6fc2d4d11
"My RAG notebook says connection refused with Ollama, what’s the quickest way to recover it?",c6fc2d4d11
"Why does tiktoken give me one token count, but OpenAI’s API shows a higher number for the same prompt?",bf0403d21b
"When I send a chat.completions request, what extra tokens does OpenAI add behind the scenes?",bf0403d21b
"Could newlines, spaces, or weird Unicode characters make the reported token count different from what I counted locally?",bf0403d21b
"I counted the visible text as 320 tokens, so why would the API say 327 tokens instead?",bf0403d21b
"How does OpenAI format chat messages internally, and why does that affect token usage?",bf0403d21b
How can I keep my API key loaded automatically in a project so I don't have to export it every time I open a new terminal?,8b2f5e9d04
Is there an easy tool like direnv that works with both .env and .envrc and is okay across different shells and OSes?,8b2f5e9d04
What do I need to put in my shell startup file and project folder to make OPENAI_API_KEY load when I cd into the repo?,8b2f5e9d04
"If I'm using GitHub Codespaces, what's the right way to store secret keys instead of putting them in files?",8b2f5e9d04
How do I load a .env file from Python code in a script without manually setting environment variables first?,8b2f5e9d04
How do I decide the best field weights in minsearch or a similar search engine?,87d4ea4e08
What's the right way to tune search field weights without just guessing?,87d4ea4e08
"Should I use trial and error for search weights, or is there a better method?",87d4ea4e08
How can I test different weight settings for retrieval and know which one is best?,87d4ea4e08
What metrics should I check when choosing weights for search fields?,87d4ea4e08
What should I do before chunking docs for RAG so retrieval works better?,649c280e6d
"Do I need to clean up HTML, OCR mistakes, and repeated headers/footers before using documents in a RAG pipeline?",649c280e6d
"Is JSON required for storing RAG documents, or can I use another format?",649c280e6d
"What kind of context should I keep in the data for RAG, like titles, dates, or speaker names?",649c280e6d
"How do I organize source documents so they’re easy to chunk, filter, and retrieve later?",649c280e6d
"In GitHub Codespaces, when uv says it failed to hardlink files, do I need to worry or is the install still fine?",acf8fa5356
"Why does uv show a hardlink warning in Codespaces, and what does it do instead?",acf8fa5356
How can I stop the uv hardlink warning for just my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in my shell so I don’t see that warning again?,acf8fa5356
"Does the failed hardlink message mean uv broke something, or is it just falling back to copying files?",acf8fa5356
"I keep getting ""dotenv is not recognized"" in my RAG project — what package do I need to install?",0bed1f48da
What should I add with uv so `load_dotenv()` works in Python?,0bed1f48da
"Do I need `python-dotenv` for loading .env files, and how do I install it?",0bed1f48da
My environment variables aren't loading because dotenv is missing — which library fixes this?,0bed1f48da
How do I set up dotenv in Python for the llm-zoomcamp RAG module?,0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally?",aa310de435
What do I need installed if I want to run the module on my machine?,aa310de435
"If I skip Codespaces and work locally, is that okay for the course?",aa310de435
Do I need to keep track of my local setup if I don't use the shared environment?,aa310de435
"If I write code in GitHub Codespaces and never commit it, where does it actually live?",610ccb23c0
Is my work in Codespaces safe if I just leave it there without committing?,610ccb23c0
What happens to my files in Codespaces when the session stops or gets deleted?,610ccb23c0
"Do I need to commit my changes regularly when using Codespaces, or is the VM enough?",610ccb23c0
"If Codespaces disconnects later, will my uncommitted code still be in my GitHub repo?",610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I change the RAM limit that WSL2 is using?,f3dd94f323
Where should I put the .wslconfig file to give WSL more memory?,f3dd94f323
What should I write in .wslconfig to allocate something like 8GB to WSL2?,f3dd94f323
"After updating WSL2 memory, how can I check if the new limit actually worked?",f3dd94f323
My GitHub Codespace is stuck on “Finishing up” and never connects — what can I try first?,830f3d2018
"If Codespaces keeps failing to open, should I switch to browser VS Code or just use another browser?",830f3d2018
What’s the best fix if my Codespace still won’t reconnect after stopping and starting it again?,830f3d2018
"Why did my project setup seem to disappear after a rebuild or new Codespace, even though the repo is still there?",830f3d2018
"If I have to delete or recreate the Codespace, how do I avoid losing my work and installed packages?",830f3d2018
Can I skip OpenAI in this RAG module and use another LLM provider instead?,c6ff9083c0
What do I need to change in the course code if I want to use a different API like Groq or OpenRouter?,c6ff9083c0
Is it possible to run a local model with Ollama or vLLM and still follow the assignments?,c6ff9083c0
"If a provider is blocked in my country, is there a workaround other than switching providers?",c6ff9083c0
Does the course have a list of good OpenAI alternatives or local model tools I can check out?,c6ff9083c0
"In agentic RAG, what exactly do tools or functions do when the model needs help?",c296ea5a21
"Are tools and functions different things in this course, or can I treat them as the same idea?",c296ea5a21
When would a model call a tool instead of just answering directly in Agentic RAG?,c296ea5a21
How is tool calling in agentic RAG different from the usual retrieval step in basic RAG?,c296ea5a21
"Can you give examples of the kind of external tasks a tool/function might handle, like search or database queries?",c296ea5a21
Which free models support tool use for development right now?,0d74a3616f
Does Groq have any models with tool calling that I can use for free?,0d74a3616f
"Besides OpenAI, what other providers support function calling or tools?",0d74a3616f
"If I switch from OpenAI to Groq or another provider, do I need to change my code?",0d74a3616f
Where can I read the docs for using tools with Groq models?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a model that isn’t from OpenAI?,9e7b3f0c25
"How should I read the model reply if I’m using Mistral, Groq, Gemini, or another non-OpenAI provider instead of the Responses API?",9e7b3f0c25
"Can I keep using the older chat completions endpoint for the homework or a project, or do I have to switch to `responses.create`?",9e7b3f0c25
What’s the right way to call a non-OpenAI model so I can get `response.choices[0].message.content` back?,9e7b3f0c25
Do I need to change the tools schema too when I move from OpenAI Responses API to a different provider?,9e7b3f0c25
How should I define the weather tool JSON in Azure OpenAI if I keep getting the missing tools[0].function error?,b9c7c6bb34
What does the get_weather_tool structure need to look like so Azure OpenAI accepts it without a 400 missing parameter error?,b9c7c6bb34
I’m seeing Missing required parameter: tools[0].function — what part of my weather tool setup am I supposed to change?,b9c7c6bb34
Can you show the correct function tool format for get_weather when using Azure OpenAI agentic RAG?,b9c7c6bb34
"Why does my tool call fail in Azure OpenAI, and what should the get_weather tool JSON include instead?",b9c7c6bb34
"Why do I get a 404 with toyaikit when I try Groq or another non-OpenAI model, and what should I use instead?",0224d980b3
How can I set up toyaikit with Groq using the chat completions API instead of the Responses endpoint?,0224d980b3
"Is there a way to use Anthropic in toyaikit, and which runner/client classes do I need?",0224d980b3
"Does `runner.loop(prompt=...)` work for a single call in toyaikit, or do I need the interactive `run()` method?",0224d980b3
What model names should I pass for Anthropic or Groq in toyaikit so I don’t hit a 404 or other error?,0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework posted in the GitHub repo, or only on the course platform?",53f15299b6
Can you point me to the exact Module 1 homework instructions for this cohort?,53f15299b6
What link should I open to see the 2026 Module 1 materials and tasks?,53f15299b6
I’m looking for the homework sheet for Module 1 — where is it located?,53f15299b6
Why am I getting an empty list after filtering my query in HW Q3?,83da208a64
What should I check first if my Elasticsearch filter returns no results?,83da208a64
Do I need to set index settings before loading the data for this homework?,83da208a64
Could the problem be that I indexed the data in the wrong order?,83da208a64
How do I fix an empty query result when the data was added to the index?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and is it related to max_output_tokens being too high?",cfb07a27d5
How do I fix the OpenRouter 402 issue in my OpenAI client code so the request actually goes through?,cfb07a27d5
"In the Module 1 rag_helper.py homework, where should I add the output token limit to avoid this OpenRouter error?",cfb07a27d5
"For the ToyAIKit setup in Q6, what change do I need to make so OpenRouter doesn't reject the request before the model runs?",cfb07a27d5
"If lowering max_output_tokens still doesn't solve it, what should I check in my .env and OpenRouter settings?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG to the chunk index instead of the original documents?",b4300adeb1
Why should I fit the search index on chunks rather than on the full documents in the RAG setup?,b4300adeb1
"If I have both `documents` and `chunks`, which one should I use when building the index for homework?",b4300adeb1
How does using the chunked index change what gets sent into the prompt?,b4300adeb1
What’s the difference between indexing `documents` and indexing `chunks` in this assignment?,b4300adeb1
"For the module 1 homework, do the answers have to match the choices exactly, or is being close enough?",5e4ca64cb5
"If my numeric homework result is a little different from the listed options, should I just pick the nearest one?",5e4ca64cb5
Why do homework answers sometimes differ a bit from the multiple-choice options in the course?,5e4ca64cb5
What should I check if my result is way off from all the homework options?,5e4ca64cb5
Are small mismatches in homework answers normal because of dataset or rounding differences?,5e4ca64cb5
Where exactly should I check the Module 1 homework instructions if the platform page is confusing?,7d3a2e3505
"For the 2026 cohort, which GitHub links do I need for Module 1 materials and homework?",7d3a2e3505
"Why do the homework tasks sometimes look different from the lesson, even though they seem related?",7d3a2e3505
"If I still don’t understand a homework question after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
"Should I send a screenshot when asking about homework, or is it better to paste the code/output as text?",7d3a2e3505
How should I count tokens for Module 1 homework if I’m using a provider other than OpenAI?,fe8fed31e6
"Is it okay to use tiktoken or cl100k_base to estimate tokens for Gemini, Mistral, Hugging Face, or Groq?",fe8fed31e6
Where can I find the prompt/input token count in an OpenAI-compatible response object?,fe8fed31e6
What should I do if my LLM provider doesn’t return token usage in the response?,fe8fed31e6
"For the multiple-choice homework, should I round to an exact token count or pick the nearest option if the tokenizer is different?",fe8fed31e6
Why is my homework repo link getting rejected with a 500 or other non-200 error when I submit it?,bcdb8740ce
"Do I need to make the GitHub repo public for the checker to access it, or can a private repo work?",bcdb8740ce
"Should I include the .git at the end of the repo URL, or just submit the normal GitHub link?",bcdb8740ce
What’s the best way to check if the submission URL is actually reachable before I send it in?,bcdb8740ce
"If the repo link works in my browser, why might the homework checker still fail to open it?",bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter?",69430a79a8
How do embeddings turn text or other non-numerical data into numbers without losing meaning?,69430a79a8
Why should similar inputs end up with similar embedding vectors?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"Are embeddings related to vector space models or dimensionality reduction, and if so, how?",69430a79a8
How can I get rid of the warning about multi-qa-mpnet-base-dot-v1 and sentence-transformers beta?,aa3f597424
What should I install to suppress the sentence-transformers v3 warning in Module 2?,aa3f597424
Is there a way to stop the model was made on sentence transformers v3.0.0 beta message?,aa3f597424
Do I need to upgrade sentence-transformers to fix the multi-qa-mpnet-base-dot-v1 warning?,aa3f597424
What pip command updates sentence-transformers to 3.0.0 or newer so the warning goes away?,aa3f597424
"Why did the lesson just use dot product for similarity, but the homework says to normalize the vectors?",92cd22cada
When is dot(...) the same as cosine similarity in vector search?,92cd22cada
"Do embeddings from model.encode(...) already come normalized, or do I need to normalize them myself?",92cd22cada
Why doesn't dot product equal cosine similarity for TF-IDF plus SVD vectors in the homework?,92cd22cada
What changes between the lesson and the homework that makes normalization necessary?,92cd22cada
"In vector search, is it better to embed the question, the answer, or both together?",5c4a8d2e60
"Should I index only the answer text, only the question text, or concatenate them for embeddings?",5c4a8d2e60
"What is the best embedding choice for FAQ vector search: question, answer, or question plus answer?",5c4a8d2e60
"How do I decide whether to embed just text, just the question, or both in my dataset?",5c4a8d2e60
Why does the course suggest testing several embedding options instead of picking one fixed approach?,5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used to compare documents in text analysis?,db78580409
Why do people use word counts or TF-IDF with cosine similarity?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
How do you interpret the angle between two vectors in cosine similarity?,db78580409
Why does cosine similarity become just a dot product once the embeddings are normalized?,95feb4e75b
How can matrix multiplication be used to calculate cosine similarity for a query and all document vectors?,95feb4e75b
"If all vectors have unit length, why do we not need to worry about their magnitude anymore?",95feb4e75b
What is the reason cosine similarity between embeddings can be computed with matrix multiplication?,95feb4e75b
How does normalizing the query and document embeddings make similarity search faster?,95feb4e75b
"For Module 2 vector search, do I have to make a brand-new GitHub repository, or is starting another codespace enough?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search part instead of reusing the one from Module 1?,1e829a8c6f
"If I spin up a fresh codespace for Module 2, will it still come from my current repo, or does it need a different repo first?",1e829a8c6f
What should I do with my Module 2 work if I might delete the codespace later—do I need to commit everything somewhere?,1e829a8c6f
Is the extra setup for the Module 2 environment something heavy enough that I should keep it isolated from my earlier course work?,1e829a8c6f
Why does `download.py` stay stuck at 0% when fetching `model.onnx` from HuggingFace?,29b69fbe0b
Is there a way to manually download `model.onnx` if the script never finishes?,29b69fbe0b
What should I do if the HuggingFace download keeps hanging in Module 2?,29b69fbe0b
Can I just place `model.onnx` in the model folder myself and skip the script?,29b69fbe0b
How does `download.py` behave if `model.onnx` is already on my machine?,29b69fbe0b
"Why do the dot-product version and the loop version of vector search not match exactly, even though they should be the same math?",e889793af9
I got different scores from `X.dot(v_query)` and my manual loop — is that a bug or just floating-point stuff?,e889793af9
"Why can `np.allclose(scores, scores_loop)` still return false when both methods are computing the same vector search result?",e889793af9
Is there a reason BLAS-based dot products and a Python for-loop give tiny differences in the last decimal places?,e889793af9
What's the best way to compare vector search scores if the matrix method and loop method are only off by a little bit?,e889793af9
"For Module 2 homework Q2, my cosine similarity doesn’t match any multiple-choice option. Am I maybe using the wrong embedding model?",eaa17a9dc6
"In the homework, should I be using the ONNX Embedder from embedder.py instead of sentence-transformers for the page embeddings?",eaa17a9dc6
"If my cosine score is off in Q2, could it be because I embedded the wrong thing, like the whole record instead of the content field?",eaa17a9dc6
"Does Q2 expect the query vector from Q1, and are the vectors already normalized so dot product equals cosine similarity?",eaa17a9dc6
"If I still get a slightly different cosine similarity after switching to the correct model, should I just choose the closest answer choice?",eaa17a9dc6
"How do I set up the Gemini key for Kestra, and do I need both a normal env var and a SECRET_ one?",3860e5fe8b
What’s the right way to export OpenAI and Tavily keys so the Kestra flows can use them?,3860e5fe8b
Why does Kestra need API keys as base64-encoded SECRET_ environment variables instead of plain text?,3860e5fe8b
"After I add the Gemini/OpenAI/Tavily variables, do I need to restart Docker Compose or Kestra itself?",3860e5fe8b
"In a Kestra YAML flow, how do I reference a stored secret if the environment variable is prefixed with SECRET_?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what setting am I missing?",04440cab11
"I set up the agent flows, but the Copilot still refuses to answer — do I need a different Gemini variable for it?",04440cab11
What’s the fix if Kestra Copilot falls back to a canned response instead of using Gemini?,04440cab11
Should I use `GEMINI_API_KEY` or `SECRET_GEMINI_API_KEY` for the Copilot in Kestra Open Source?,04440cab11
"If I already exported my Gemini key and it still doesn’t work, what else could be wrong — wrong shell, bad key, or quota limit?",04440cab11
Why does Kestra keep saying my Gemini key is invalid even though I already exported SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode be the reason my secret works locally but fails in the flow?,c8ca21af33
"Do I need to restart Kestra after setting the API key, or is exporting it enough?",c8ca21af33
"In the flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside secret(...) ?",c8ca21af33
"What's the safest way to load my LLM keys for Kestra, maybe with a .env file instead of exporting them in the shell?",c8ca21af33
"Why wouldn’t a notebook be enough for AI workflows, and what does an orchestrator like Kestra add?",193612db63
"What production things do you get from orchestration that you don’t really have in a notebook, like retries or scheduling?",193612db63
"In this module, why is Kestra used as the place to teach AI Copilot, RAG, and agents instead of just code cells?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in Kestra without rewriting the whole flow?",193612db63
What’s the main reason this course is using Kestra for orchestration instead of just running scripts by hand?,193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the model output with `json.loads()`?,a3c7e1b4f9
How can I make the LLM return clean JSON instead of markdown fences or extra text?,a3c7e1b4f9
"In the evaluation notebook, what should I change so the generated questions come back as valid JSON?",a3c7e1b4f9
What is the recommended way to force OpenAI chat completions to output a JSON object for ground-truth question generation?,a3c7e1b4f9
"Do other model providers have a similar option to guarantee JSON output, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel crash when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
What can I do if my notebook runs out of memory while loading an embedding model and the ground-truth data?,b8f2d6a30c
Is there a smaller embedding model I can use instead of the default one for the eval exercise?,b8f2d6a30c
Can I move the embeddings step to a Python script and then bring the saved vectors back into the notebook?,b8f2d6a30c
Should I re-run the evaluation metrics after switching to a different embedder or using batches?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop the Gemini rate limit problem when I'm generating the ground-truth data?,c1e9f4b820
What can I do if the free Gemini tier keeps blocking me while I build the evaluation dataset?,c1e9f4b820
"Is it worth switching to OpenAI for this step, and which model should I use if I do?",c1e9f4b820
"Can I use Groq instead of Gemini for generating the ground-truth set, and which model has a better free limit?",c1e9f4b820
How should I change my thread pool or save progress so I don't lose everything when the API quota gets hit?,c1e9f4b820
How do I fix the WinError 126 missing fbgemm.dll issue on Windows when importing torch?,15e931476c
I keep getting an OSError about torch\lib\fbgemm.dll not being found in Windows Python 3.10 — what should I install?,15e931476c
"Does installing Visual C++ Redistributable solve the ""specified module could not be found"" error for fbgemm.dll?",15e931476c
Should I install Visual Studio or Visual Studio Code to resolve the PyTorch fbgemm.dll dependency problem on Windows?,15e931476c
What are the recommended fixes for the Windows error loading fbgemm.dll or one of its dependencies in PyTorch?,15e931476c
"I'm getting psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run prep.py. What should I change in my .env file to fix it?",4b65d5542d
"Why does python prep.py fail with ""could not translate host name postgres to address"" and what's the right value for POSTGRES_HOST?",4b65d5542d
My setup throws a psycopg2.OperationalError about the postgres host not being found. Which .env variable needs to be edited?,4b65d5542d
How do I resolve the host name error for postgres in Module 5 Monitoring when running prep.py?,4b65d5542d
"If prep.py can't connect because ""postgres"" is an unknown host, what should POSTGRES_HOST be set to?",4b65d5542d
How do I make Pandas stop truncating long text in a column and show the full content?,641aedbbf5
